Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
31,US-2019-100030,2019-10-15,2019-10-18,Standard Class,CU-10030,Charles Jackson,Home Office,United States,Orlando,Florida,West,TEC-30828,Technology,Accessories,Accessories Model 911,2211.93,7,0.0,354.51
32,US-2020-100031,2020-04-15,2020-04-20,Same Day,CU-10031,Patricia Miller,Consumer,United States,Tampa,Florida,West,OFF-84979,Office Supplies,Paper,Paper Model 940,15.47,1,0.5,1.06
33,US-2017-100032,2017-06-23,2017-06-30,Second Class,CU-10032,Lisa Wilson,Consumer,United States,Houston,Texas,Central,FUR-53233,Furniture,Chairs,Chairs Model 224,487.8,3,0.0,6.06
34,US-2020-100033,2020-01-31,2020-02-05,Standard Class,CU-10033,Mary Anderson,Consumer,United States,Pittsburgh,Pennsylvania,South,FUR-93216,Furniture,Tables,Tables Model 633,226.1,1,0.1,21.85
35,US-2020-100034,2020-01-27,2020-01-28,Standard Class,CU-10034,Richard Harris,Consumer,United States,Miami,Florida,South,TEC-27074,Technology,Machines,Machines Model 512,2055.23,7,0.2,483.7
36,US-2017-100035,2017-01-16,2017-01-19,Second Class,CU-10035,William Johnson,Corporate,United States,Grand Rapids,Michigan,East,OFF-46062,Office Supplies,Supplies,Supplies Model 512,291.87,8,0.0,58.86
37,US-2019-100036,2019-08-23,2019-08-25,Second Class,CU-10036,Richard Wilson,Consumer,United States,New York City,New York,Central,FUR-23623,Furniture,Chairs,Chairs Model 696,873.78,2,0.1,24.96
38,US-2018-100037,2018-04-30,2018-05-04,Second Class,CU-10037,Karen Jackson,Consumer,United States,Dallas,Texas,South,FUR-52832,Furniture,Furnishings,Furnishings Model 367,258.85,2,0.0,-9.46
39,US-2020-100038,2020-12-06,2020-12-13,First Class,CU-10038,John Johnson,Consumer,United States,Springfield,Illinois,South,FUR-74605,Furniture,Chairs,Chairs Model 912,2874.93,7,0.3,-81.89
40,US-2020-100039,2020-08-07,2020-08-08,Second Class,CU-10039,John Smith,Consumer,United States,Austin,Texas,East,TEC-93767,Technology,Machines,Machines Model 322,1514.84,6,0.0,456.11
41,US-2019-100040,2019-08-19,2019-08-22,Standard Class,CU-10040,William Brown,Consumer,United States,Austin,Texas,Central,TEC-42915,Technology,Phones,Phones Model 540,2124.05,7,0.1,338.2
42,US-2020-100041,2020-07-31,2020-08-05,Second Class,CU-10041,Thomas Garcia,Corporate,United States,Chicago,Illinois,South,OFF-97477,Office Supplies,Paper,Paper Model 350,224.65,6,0.0,39.46
43,US-2019-100042,2019-05-18,2019-05-19,Standard Class,CU-10042,Barbara Jones,Consumer,United States,San Francisco,California,East,TEC-96275,Technology,Machines,Machines Model 968,873.56,3,0.0,131.62
44,US-2020-100043,2020-01-09,2020-01-14,Standard Class,CU-10043,Robert Anderson,Consumer,United States,Spokane,Washington,East,TEC-89594,Technology,Phones,Phones Model 839,720.15,7,0.1,179.73
45,US-2019-100044,2019-02-25,2019-02-28,Standard Class,CU-10044,Patricia Garcia,Consumer,United States,Buffalo,New York,Central,TEC-39398,Technology,Phones,Phones Model 921,456.55,1,0.0,46.77
46,US-2020-100045,2020-05-19,2020-05-20,Standard Class,CU-10045,Robert Harris,Consumer,United States,Phoenix,Arizona,West,OFF-10791,Office Supplies,Appliances,Appliances Model 590,305.11,7,0.0,59.91
47,US-2020-100046,2020-03-09,2020-03-14,First Class,CU-10046,James Davis,Consumer,United States,Pittsburgh,Pennsylvania,Central,OFF-23002,Office Supplies,Appliances,Appliances Model 529,200.17,4,0.1,47.47
48,US-2020-100047,2020-07-28,2020-07-30,Standard Class,CU-10047,Charles Jones,Home Office,United States,Tucson,Arizona,Central,OFF-83482,Office Supplies,Binders,Binders Model 126,188.29,6,0.2,26.93
49,US-2018-100048,2018-02-08,2018-02-11,First Class,CU-10048,Christopher Taylor,Corporate,United States,Cleveland,Ohio,South,OFF-34665,Office Supplies,Appliances,Appliances Model 784,47.64,2,0.2,8.29
50,US-2020-100049,2020-10-04,2020-10-09,Same Day,CU-10049,John Davis,Corporate,United States,Columbus,Ohio,West,OFF-72178,Office Supplies,Supplies,Supplies Model 701,220.66,7,0.0,48.19
51,US-2017-100050,2017-02-13,2017-02-15,Standard Class,CU-10050,Robert Jones,Consumer,United States,Seattle,Washington,West,OFF-37111,Office Supplies,Appliances,Appliances Model 697,165.48,8,0.0,39.77
52,US-2017-100051,2017-11-15,2017-11-22,Standard Class,CU-10051,John Williams,Corporate,United States,Grand Rapids,Michigan,South,FUR-92279,Furniture,Furnishings,Furnishings Model 734,2638.04,4,0.0,186.52
53,US-2019-100052,2019-08-18,2019-08-25,Standard Class,CU-10052,Nancy Smith,Consumer,United States,Houston,Texas,South,FUR-13980,Furniture,Chairs,Chairs Model 410,5326.44,9,0.0,396.31
54,US-2017-100053,2017-04-03,2017-04-06,First Class,CU-10053,Christopher Davis,Corporate,United States,Charlotte,North Carolina,South,TEC-53020,Technology,Machines,Machines Model 331,1605.24,6,0.0,400.96
55,US-2018-100054,2018-11-17,2018-11-22,Standard Class,CU-10054,Susan Davis,Corporate,United States,Orlando,Florida,South,FUR-81423,Furniture,Chairs,Chairs Model 187,2220.78,6,0.0,111.71
56,US-2018-100055,2018-11-06,2018-11-07,First Class,CU-10055,Richard Brown,Consumer,United States,Savannah,Georgia,Central,TEC-22224,Technology,Accessories,Accessories Model 834,1961.21,7,0.0,361.13
57,US-2018-100056,2018-08-30,2018-09-03,Standard Class,CU-10056,Barbara Anderson,Consumer,United States,Spokane,Washington,South,OFF-68162,Office Supplies,Storage,Storage Model 828,258.41,8,0.0,65.1
58,US-2017-100057,2017-07-15,2017-07-16,Standard Class,CU-10057,Linda Harris,Home Office,United States,San Francisco,California,Central,TEC-32328,Technology,Machines,Machines Model 589,511.17,6,0.5,45.72
59,US-2020-100058,2020-08-02,2020-08-07,Standard Class,CU-10058,James Johnson,Consumer,United States,Detroit,Michigan,South,FUR-96251,Furniture,Chairs,Chairs Model 321,3246.52,7,0.0,51.06
60,US-2017-100059,2017-10-02,2017-10-05,Standard Class,CU-10059,John Brown,Corporate,United States,Dallas,Texas,East,FUR-49279,Furniture,Bookcases,Bookcases Model 165,2801.82,6,0.0,333.74
61,US-2018-100060,2018-08-15,2018-08-17,Standard Class,CU-10060,Charles Williams,Consumer,United States,San Francisco,California,Central,TEC-69399,Technology,Accessories,Accessories Model 128,807.74,4,0.0,190.89
62,US-2019-100061,2019-06-15,2019-06-17,Standard Class,CU-10061,Linda White,Corporate,United States,Philadelphia,Pennsylvania,Central,TEC-46242,Technology,Phones,Phones Model 551,1447.87,9,0.0,282.57
63,US-2018-100062,2018-06-06,2018-06-09,Standard Class,CU-10062,Karen Thomas,Consumer,United States,Tucson,Arizona,South,OFF-29245,Office Supplies,Appliances,Appliances Model 340,47.57,2,0.0,9.34
64,US-2018-100063,2018-11-01,2018-11-04,Standard Class,CU-10063,John Anderson,Consumer,United States,Orlando,Florida,West,FUR-74294,Furniture,Tables,Tables Model 191,470.32,2,0.3,32.27
65,US-2019-100064,2019-06-21,2019-06-24,First Class,CU-10064,Jessica Garcia,Consumer,United States,Spokane,Washington,South,OFF-76582,Office Supplies,Storage,Storage Model 269,174.64,7,0.0,56.2
66,US-2019-100065,2019-02-04,2019-02-09,First Class,CU-10065,Thomas Davis,Consumer,United States,Tampa,Florida,South,OFF-15514,Office Supplies,Paper,Paper Model 496,111.66,8,0.0,19.84
67,US-2020-100066,2020-08-14,2020-08-18,Standard Class,CU-10066,David Williams,Consumer,United States,Tucson,Arizona,Central,TEC-59804,Technology,Machines,Machines Model 249,109.86,1,0.5,-1.59
68,US-2018-100067,2018-03-25,2018-03-26,Second Class,CU-10067,Linda Smith,Consumer,United States,Pittsburgh,Pennsylvania,East,TEC-26668,Technology,Machines,Machines Model 114,789.75,3,0.0,133.3
69,US-2020-100068,2020-04-06,2020-04-10,First Class,CU-10068,Karen Wilson,Consumer,United States,Chicago,Illinois,West,FUR-12072,Furniture,Furnishings,Furnishings Model 348,117.47,7,0.1,11.32
70,US-2020-100069,2020-03-01,2020-03-04,Second Class,CU-10069,Linda Harris,Consumer,United States,Dallas,Texas,South,FUR-11718,Furniture,Chairs,Chairs Model 515,1190.75,5,0.1,71.75
71,US-2018-100070,2018-06-22,2018-06-25,Second Class,CU-10070,Michael Harris,Corporate,United States,Houston,Texas,West,OFF-44312,Office Supplies,Paper,Paper Model 722,144.06,3,0.1,41.09
72,US-2019-100071,2019-05-29,2019-06-02,Standard Class,CU-10071,Lisa Jackson,Consumer,United States,Austin,Texas,West,TEC-87070,Technology,Phones,Phones Model 982,2482.83,9,0.2,794.37
73,US-2018-100072,2018-07-29,2018-07-30,Standard Class,CU-10072,Robert Harris,Corporate,United States,Charlotte,North Carolina,East,TEC-14174,Technology,Phones,Phones Model 922,526.36,3,0.0,26.91
74,US-2020-100073,2020-02-16,2020-02-19,Same Day,CU-10073,Susan Anderson,Consumer,United States,Tampa,Florida,West,OFF-79709,Office Supplies,Storage,Storage Model 824,290.69,9,0.1,62.79
75,US-2019-100074,2019-03-08,2019-03-15,Standard Class,CU-10074,Linda Anderson,Consumer,United States,Raleigh,North Carolina,South,FUR-40542,Furniture,Bookcases,Bookcases Model 558,2137.77,8,0.0,55.18
76,US-2017-100075,2017-05-27,2017-05-30,Standard Class,CU-10075,Patricia White,Corporate,United States,Miami,Florida,West,FUR-29436,Furniture,Chairs,Chairs Model 549,1515.77,4,0.2,110.1
77,US-2017-100076,2017-04-20,2017-04-25,First Class,CU-10076,Susan Davis,Home Office,United States,Philadelphia,Pennsylvania,Central,TEC-16711,Technology,Copiers,Copiers Model 381,1345.0,5,0.0,197.0
78,US-2020-100077,2020-03-15,2020-03-17,Second Class,CU-10077,Nancy Jackson,Corporate,United States,Pittsburgh,Pennsylvania,West,FUR-54755,Furniture,Tables,Tables Model 482,1164.16,3,0.2,61.92
79,US-2019-100078,2019-08-16,2019-08-17,Standard Class,CU-10078,Michael Jackson,Corporate,United States,Grand Rapids,Michigan,West,FUR-35337,Furniture,Bookcases,Bookcases Model 951,5163.24,9,0.0,101.14
80,US-2020-100079,2020-03-11,2020-03-12,Standard Class,CU-10079,Nancy Thomas,Home Office,United States,Charlotte,North Carolina,West,TEC-52811,Technology,Machines,Machines Model 224,67.13,1,0.3,7.98
81,US-2019-100080,2019-02-02,2019-02-03,Standard Class,CU-10080,Lisa Harris,Consumer,United States,Raleigh,North Carolina,West,FUR-78227,Furniture,Chairs,Chairs Model 868,5523.31,9,0.1,54.52
82,US-2018-100081,2018-11-04,2018-11-09,First Class,CU-10081,Jennifer Williams,Corporate,United States,Detroit,Michigan,West,TEC-37127,Technology,Copiers,Copiers Model 467,459.32,3,0.5,13.59
83,US-2019-100082,2019-01-01,2019-01-05,Standard Class,CU-10082,Patricia White,Consumer,United States,Atlanta,Georgia,East,TEC-42169,Technology,Machines,Machines Model 660,962.08,3,0.0,174.53
84,US-2017-100083,2017-06-30,2017-07-04,Standard Class,CU-10083,Karen Smith,Corporate,United States,Springfield,Illinois,East,FUR-98182,Furniture,Bookcases,Bookcases Model 446,472.22,5,0.1,49.74
85,US-2019-100084,2019-05-30,2019-06-02,First Class,CU-10084,David Wilson,Corporate,United States,San Diego,California,South,TEC-80564,Technology,Phones,Phones Model 433,1880.93,5,0.0,464.28
86,US-2020-100085,2020-03-19,2020-03-24,Standard Class,CU-10085,Christopher Harris,Corporate,United States,Philadelphia,Pennsylvania,South,FUR-54620,Furniture,Furnishings,Furnishings Model 947,1421.13,4,0.1,97.12
87,US-2018-100086,2018-01-26,2018-01-29,First Class,CU-10086,William Jones,Consumer,United States,Rochester,New York,South,FUR-78870,Furniture,Tables,Tables Model 312,2106.43,9,0.2,86.89
88,US-2017-100087,2017-01-04,2017-01-08,Standard Class,CU-10087,Lisa Davis,Home Office,United States,Houston,Texas,East,OFF-16128,Office Supplies,Storage,Storage Model 447,394.21,9,0.0,93.22
89,US-2020-100088,2020-08-26,2020-09-02,Standard Class,CU-10088,David Wilson,Corporate,United States,Chicago,Illinois,South,TEC-16400,Technology,Machines,Machines Model 645,2414.43,9,0.2,522.24
90,US-2019-100089,2019-09-07,2019-09-12,First Class,CU-10089,Susan White,Consumer,United States,Savannah,Georgia,South,TEC-52932,Technology,Accessories,Accessories Model 988,2378.61,7,0.0,233.4
91,US-2019-100090,2019-07-19,2019-07-21,Second Class,CU-10090,William Brown,Corporate,United States,Charlotte,North Carolina,Central,FUR-60729,Furniture,Bookcases,Bookcases Model 325,285.98,2,0.3,19.27
92,US-2019-100091,2019-06-17,2019-06-24,Standard Class,CU-10091,Karen Anderson,Corporate,United States,Columbus,Ohio,Central,OFF-41348,Office Supplies,Paper,Paper Model 885,29.15,1,0.1,7.69
93,US-2018-100092,2018-08-21,2018-08-22,Standard Class,CU-10092,Charles Jones,Home Office,United States,Miami,Florida,Central,OFF-60679,Office Supplies,Binders,Binders Model 639,178.25,5,0.0,38.38
94,US-2018-100093,2018-11-04,2018-11-07,First Class,CU-10093,Thomas Brown,Consumer,United States,Tucson,Arizona,South,OFF-64914,Office Supplies,Storage,Storage Model 851,94.44,3,0.0,22.78
95,US-2018-100094,2018-01-20,2018-01-24,Standard Class,CU-10094,Susan Wilson,Consumer,United States,Savannah,Georgia,East,TEC-36745,Technology,Phones,Phones Model 766,105.22,1,0.5,0.14
96,US-2017-100095,2017-12-02,2017-12-07,Standard Class,CU-10095,David Johnson,Corporate,United States,Tucson,Arizona,Central,TEC-51928,Technology,Machines,Machines Model 930,1346.71,7,0.0,228.99
97,US-2020-100096,2020-04-09,2020-04-10,Standard Class,CU-10096,Lisa Williams,Corporate,United States,Houston,Texas,East,TEC-86654,Technology,Machines,Machines Model 929,1149.3,4,0.0,255.04
98,US-2017-100097,2017-10-25,2017-11-01,Standard Class,CU-10097,Barbara Miller,Consumer,United States,Raleigh,North Carolina,West,TEC-92397,Technology,Machines,Machines Model 150,516.06,2,0.1,82.87
99,US-2017-100098,2017-05-12,2017-05-13,Standard Class,CU-10098,Jessica Jones,Corporate,United States,Los Angeles,California,South,FUR-46566,Furniture,Bookcases,Bookcases Model 695,3041.82,8,0.0,273.19
100,US-2018-100099,2018-03-30,2018-03-31,Second Class,CU-10099,Robert Miller,Corporate,United States,Rochester,New York,West,FUR-47390,Furniture,Chairs,Chairs Model 690,1561.25,5,0.0,18.17
101,US-2018-100100,2018-08-05,2018-08-08,First Class,CU-10100,William Anderson,Consumer,United States,San Diego,California,West,FUR-39254,Furniture,Furnishings,Furnishings Model 483,2600.78,5,0.1,27.69
102,US-2017-100101,2017-12-31,2018-01-01,Second Class,CU-10101,David White,Consumer,United States,Phoenix,Arizona,West,FUR-29039,Furniture,Bookcases,Bookcases Model 628,1293.75,6,0.3,-5.76
103,US-2020-100102,2020-04-29,2020-05-03,Standard Class,CU-10102,David Smith,Home Office,United States,Raleigh,North Carolina,South,FUR-34015,Furniture,Bookcases,Bookcases Model 438,1411.37,5,0.0,151.11
104,US-2019-100103,2019-08-04,2019-08-08,First Class,CU-10103,Charles Jones,Corporate,United States,Chicago,Illinois,South,FUR-81262,Furniture,Furnishings,Furnishings Model 578,957.62,2,0.0,119.04
105,US-2018-100104,2018-02-27,2018-03-03,Standard Class,CU-10104,Christopher Smith,Consumer,United States,Spokane,Washington,West,OFF-63789,Office Supplies,Storage,Storage Model 687,18.84,1,0.0,4.14
106,US-2020-100105,2020-08-06,2020-08-07,Second Class,CU-10105,James Brown,Consumer,United States,Cleveland,Ohio,Central,TEC-24659,Technology,Accessories,Accessories Model 220,3134.77,8,0.0,590.32
107,US-2020-100106,2020-03-13,2020-03-16,First Class,CU-10106,Michael Williams,Consumer,United States,Atlanta,Georgia,West,FUR-94912,Furniture,Furnishings,Furnishings Model 784,1074.22,7,0.0,9.53
108,US-2017-100107,2017-04-16,2017-04-19,Standard Class,CU-10107,Christopher Williams,Consumer,United States,Phoenix,Arizona,West,FUR-97768,Furniture,Bookcases,Bookcases Model 995,459.22,6,0.5,-37.01
109,US-2019-100108,2019-03-16,2019-03-18,Standard Class,CU-10108,Linda Jones,Corporate,United States,Spokane,Washington,South,TEC-23584,Technology,Machines,Machines Model 651,1115.97,3,0.0,267.26
110,US-2018-100109,2018-10-27,2018-11-03,First Class,CU-10109,Mary Brown,Corporate,United States,Atlanta,Georgia,East,OFF-93408,Office Supplies,Supplies,Supplies Model 333,31.36,1,0.0,6.5
111,US-2020-100110,2020-05-19,2020-05-20,Standard Class,CU-10110,Robert Johnson,Home Office,United States,Pittsburgh,Pennsylvania,West,FUR-64943,Furniture,Furnishings,Furnishings Model 797,3360.85,9,0.2,121.05
112,US-2019-100111,2019-03-08,2019-03-11,Standard Class,CU-10111,Mary Wilson,Consumer,United States,Dallas,Texas,East,FUR-27268,Furniture,Furnishings,Furnishings Model 382,1150.19,3,0.0,89.3
113,US-2020-100112,2020-10-12,2020-10-17,Standard Class,CU-10112,Thomas Smith,Home Office,United States,Phoenix,Arizona,Central,FUR-65888,Furniture,Chairs,Chairs Model 760,913.82,3,0.0,61.89
114,US-2017-100113,2017-02-15,2017-02-19,Standard Class,CU-10113,Charles Miller,Home Office,United States,Buffalo,New York,Central,TEC-54079,Technology,Phones,Phones Model 215,886.88,9,0.5,57.94
115,US-2018-100114,2018-08-24,2018-08-25,Standard Class,CU-10114,James White,Consumer,United States,Dallas,Texas,West,FUR-34060,Furniture,Tables,Tables Model 729,989.67,3,0.2,-2.59
116,US-2018-100115,2018-05-20,2018-05-22,Standard Class,CU-10115,John Wilson,Consumer,United States,Seattle,Washington,Central,FUR-30202,Furniture,Bookcases,Bookcases Model 566,727.3,8,0.0,19.82
117,US-2017-100116,2017-12-06,2017-12-09,Standard Class,CU-10116,Robert Williams,Consumer,United States,Spokane,Washington,West,OFF-60378,Office Supplies,Storage,Storage Model 568,135.26,3,0.0,24.18
118,US-2019-100117,2019-03-17,2019-03-19,Second Class,CU-10117,Charles Harris,Consumer,United States,Seattle,Washington,Central,FUR-46166,Furniture,Furnishings,Furnishings Model 816,3086.35,6,0.0,116.66
119,US-2017-100118,2017-04-25,2017-04-29,Standard Class,CU-10118,James White,Consumer,United States,Pittsburgh,Pennsylvania,South,TEC-84235,Technology,Phones,Phones Model 646,1404.87,5,0.0,221.54
120,US-2017-100119,2017-08-19,2017-08-21,Standard Class,CU-10119,Thomas Harris,Consumer,United States,Savannah,Georgia,West,FUR-78915,Furniture,Bookcases,Bookcases Model 387,2701.28,7,0.0,-130.43
121,US-2020-100120,2020-09-26,2020-09-28,Standard Class,CU-10120,James Jackson,Consumer,United States,Cleveland,Ohio,East,OFF-67758,Office Supplies,Binders,Binders Model 518,102.58,3,0.0,17.48
122,US-2020-100121,2020-03-04,2020-03-07,Standard Class,CU-10121,Linda Johnson,Corporate,United States,Los Angeles,California,Central,TEC-57357,Technology,Machines,Machines Model 233,608.82,3,0.0,129.6
123,US-2020-100122,2020-02-27,2020-03-02,First Class,CU-10122,Richard Brown,Consumer,United States,Seattle,Washington,East,OFF-18718,Office Supplies,Storage,Storage Model 796,122.16,3,0.1,28.27
124,US-2020-100123,2020-06-28,2020-06-30,Standard Class,CU-10123,Christopher Brown,Consumer,United States,Cleveland,Ohio,East,TEC-80807,Technology,Copiers,Copiers Model 799,611.22,6,0.5,-24.24
125,US-2017-100124,2017-11-13,2017-11-16,Standard Class,CU-10124,William Williams,Corporate,United States,Seattle,Washington,East,OFF-61513,Office Supplies,Paper,Paper Model 113,171.31,4,0.0,35.1
126,US-2020-100125,2020-05-24,2020-05-31,First Class,CU-10125,Charles Jackson,Corporate,United States,Austin,Texas,West,OFF-14070,Office Supplies,Binders,Binders Model 655,95.13,5,0.3,21.89
127,US-2020-100126,2020-03-23,2020-03-28,Second Class,CU-10126,Jennifer Brown,Consumer,United States,Raleigh,North Carolina,Central,OFF-22018,Office Supplies,Storage,Storage Model 876,134.75,4,0.0,30.38
128,US-2017-100127,2017-02-24,2017-03-03,First Class,CU-10127,Mary Miller,Consumer,United States,Cleveland,Ohio,West,OFF-90901,Office Supplies,Appliances,Appliances Model 852,26.45,2,0.5,2.15
129,US-2018-100128,2018-04-22,2018-04-29,Standard Class,CU-10128,Christopher White,Consumer,United States,New York City,New York,South,OFF-62686,Office Supplies,Storage,Storage Model 547,344.53,7,0.0,80.58
130,US-2018-100129,2018-11-09,2018-11-13,Standard Class,CU-10129,David Davis,Corporate,United States,Chicago,Illinois,East,OFF-38438,Office Supplies,Supplies,Supplies Model 824,313.56,8,0.3,75.73
131,US-2020-100130,2020-06-28,2020-06-29,Second Class,CU-10130,Lisa Brown,Corporate,United States,Rochester,New York,West,OFF-37471,Office Supplies,Appliances,Appliances Model 330,107.23,9,0.5,2.91
132,US-2020-100131,2020-10-18,2020-10-19,Same Day,CU-10131,Mary Smith,Corporate,United States,Houston,Texas,Central,FUR-42624,Furniture,Furnishings,Furnishings Model 167,1297.34,3,0.1,21.83
133,US-2018-100132,2018-07-13,2018-07-16,First Class,CU-10132,Karen Jones,Consumer,United States,Seattle,Washington,East,FUR-62345,Furniture,Furnishings,Furnishings Model 986,1878.26,6,0.3,-39.76
134,US-2018-100133,2018-09-30,2018-10-04,First Class,CU-10133,Robert Jackson,Consumer,United States,Atlanta,Georgia,Central,FUR-18681,Furniture,Bookcases,Bookcases Model 720,1522.84,6,0.0,175.43
